zone_id,lat_grid,lon_grid,total_locations,avg_location_score,rescaled_score,restaurant_count,business_count,bus_stop_count,divvy_station_count,population_total_cell,zone_class_mode,geom,geojson,centroid
171,41.76,-87.61,62,26,42,31,18,11,2,3001642,B1-1,"POLYGON((-87.61 41.76, -87.6 41.76, -87.6 41.77, -87.61 41.77, -87.61 41.76))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.61, 41.76], [-87.6, 41.76], [-87.6, 41.77], [-87.61, 41.77], [-87.61, 41.76] ] ] } ",POINT(-87.604999999998 41.7649999785089)
179,41.77,-87.78,1,31,51,1,0,0,0,58797,M1-1,"POLYGON((-87.78 41.77, -87.77 41.77, -87.77 41.78, -87.78 41.78, -87.78 41.77))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.78, 41.77], [-87.77, 41.77], [-87.77, 41.78], [-87.78, 41.78], [-87.78, 41.77] ] ] } ",POINT(-87.7749999999863 41.7749999784915)
206,41.78,-87.74,32,29,47,21,2,9,0,2148126,B1-1,"POLYGON((-87.74 41.78, -87.73 41.78, -87.73 41.79, -87.74 41.79, -87.74 41.78))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.74, 41.78], [-87.73, 41.78], [-87.73, 41.79], [-87.74, 41.79], [-87.74, 41.78] ] ] } ",POINT(-87.735000000003 41.7849999783975)
310,41.84,-87.74,3,25,40,2,0,1,0,171958,PD 1280,"POLYGON((-87.74 41.84, -87.73 41.84, -87.73 41.85, -87.74 41.85, -87.74 41.84))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.74, 41.84], [-87.73, 41.84], [-87.73, 41.85], [-87.74, 41.85], [-87.74, 41.84] ] ] } ",POINT(-87.7350000000041 41.8449999781721)
369,41.88,-87.77,37,29,47,10,15,11,1,1192800,B3-2,"POLYGON((-87.77 41.88, -87.76 41.88, -87.76 41.89, -87.77 41.89, -87.77 41.88))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.77, 41.88], [-87.76, 41.88], [-87.76, 41.89], [-87.77, 41.89], [-87.77, 41.88] ] ] } ",POINT(-87.7649999999968 41.8849999780136)
376,41.88,-87.7,59,28,46,19,23,13,4,1441062,B3-2,"POLYGON((-87.7 41.88, -87.69 41.88, -87.69 41.89, -87.7 41.89, -87.7 41.88))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.7, 41.88], [-87.69, 41.88], [-87.69, 41.89], [-87.7, 41.89], [-87.7, 41.88] ] ] } ",POINT(-87.6949999999924 41.8849999780247)
425,41.91,-87.75,53,29,47,20,21,10,2,3547403,C2-1,"POLYGON((-87.75 41.91, -87.74 41.91, -87.74 41.92, -87.75 41.92, -87.75 41.91))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.75, 41.91], [-87.74, 41.91], [-87.74, 41.92], [-87.75, 41.92], [-87.75, 41.91] ] ] } ",POINT(-87.745000000011 41.9149999778828)
429,41.91,-87.71,48,32,53,26,9,11,2,2868487,B3-2,"POLYGON((-87.71 41.91, -87.7 41.91, -87.7 41.92, -87.71 41.92, -87.71 41.91))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.71, 41.91], [-87.7, 41.91], [-87.7, 41.92], [-87.71, 41.92], [-87.71, 41.91] ] ] } ",POINT(-87.7049999999929 41.9149999778874)
431,41.91,-87.69,77,38,63,45,21,9,2,5115990,B3-2,"POLYGON((-87.69 41.91, -87.68 41.91, -87.68 41.92, -87.69 41.92, -87.69 41.91))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.69, 41.91], [-87.68, 41.91], [-87.68, 41.92], [-87.69, 41.92], [-87.69, 41.91] ] ] } ",POINT(-87.684999999985 41.9149999778835)
473,41.93,-87.65,201,41,68,147,31,18,5,12657656,B3-3,"POLYGON((-87.65 41.93, -87.64 41.93, -87.64 41.94, -87.65 41.94, -87.65 41.93))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.65, 41.93], [-87.64, 41.93], [-87.64, 41.94], [-87.65, 41.94], [-87.65, 41.93] ] ] } ",POINT(-87.6450000000233 41.9349999777506)
